query,engine,domain,URL,title,text
freedom fight,Google,shethepeople.tv,https://www.shethepeople.tv/top-stories/leadership/quotes-by-women-freedom-fighters/,16 Empowering Quotes By Women Freedom Fighters Of Indiawww.shethepeople.tv › top-stories › leadership › quotes...,
freedom fight,Google,digitalcommons.unomaha.edu,https://digitalcommons.unomaha.edu/goodrichfacbooks/4/,"""THE FREEDOM FIGHT: A Novel of Resistance and Freedom ...digitalcommons.unomaha.edu › goodrichfacbooks",
freedom fight,Google,amarchitrakatha.com,https://www.amarchitrakatha.com/literature_details/10-rare-amar-chitra-kathas-about-our-freedom-struggle/,10 Rare ACKs About Our Freedom Struggle | Amar Chitra Kathawww.amarchitrakatha.com › literature_details › 10-rare...,
freedom fight,Google,newsonair.com,http://www.newsonair.com/News?title=Nation-pays-homage-to-great-freedom-fighter-Netaji-Subhash-Chandra-Bose-on-his-birth-anniversary-today&id=408484,Nation pays homage to great freedom fighter Netaji Subhash ...www.newsonair.com › News › title=Nation-pays-homa...,
freedom fight,Google,timesnownews.com,https://www.timesnownews.com/india/article/the-road-to-freedom-at-midnight-5-key-turning-points-in-india-s-struggle-for-independence/637074,Independence Day: The road to freedom at midnight: 5 key ...www.timesnownews.com › India News,
freedom fight,Google,pib.gov.in,https://pib.gov.in/PressReleasePage.aspx?PRID=1645023,Ministry of Tribal Affairs M/O Tribal Affairs Setting up Tribal ...pib.gov.in › PressReleasePage,
freedom fight,Google,amazon.com,https://www.amazon.com/Freedom-Fight-Drug-Truths-That/dp/1946615552,The Freedom Fight: The New Drug and the Truths That Set Us ...www.amazon.com › Freedom-Fight-Drug-Truths-That,
freedom fight,Google,indiankanoon.org,https://indiankanoon.org/search/?formInput=freedom fighters pension+doctypes:judgments,freedom fighters pension doctypes: judgments - Indian Kanoonindiankanoon.org › search › formInput=freedom fighte...,
freedom fight,Google,dnaindia.com,https://www.dnaindia.com/topic/freedom-fighter,"Freedom Fighter: Latest News, Videos and Photos on ...www.dnaindia.com › Topics",
freedom fight,Google,thenewsminute.com,https://www.thenewsminute.com/article/bjp-against-movie-variyamkunnath-centres-book-freedom-fighters-lists-him-132290,BJP against movie on Variyamkunnath but Centre's book on ...www.thenewsminute.com › Kerala,
freedom fight,Google,almora.nic.in,https://almora.nic.in/service/freedom-fighter-certificate/,"Freedom Fighter Certificate | District Almora, Government of ...almora.nic.in › service › freedom-fighter-certificate",
freedom fight,Google,store.steampowered.com,https://store.steampowered.com/app/1347780/Freedom_Fighters/,Freedom Fighters on Steamstore.steampowered.com › app › Freedom_Fighters,
freedom fight,Google,e-ir.info,https://www.e-ir.info/2018/11/29/is-one-mans-terrorist-another-mans-freedom-fighter/,"Is ""One Man's Terrorist Another Man's Freedom Fighter""?www.e-ir.info › 2018/11/29 › is-one-mans-terrorist-ano...",
freedom fight,Google,news18.com,https://www.news18.com/topics/freedom-fighters/,Latest News and Updates on Freedom Fighters at News18www.news18.com › Topic,
