query,engine,domain,URL,title,text
stock market news,Google,cnbctv18.com,https://www.cnbctv18.com/market/stock-market-live-indian-indices-to-open-in-the-red-following-mixed-cues-in-asian-peers-8716431.htm,"Stock Market Highlights: Sensex slumps 740 points, Nifty ends ...www.cnbctv18.com › market › stock-market-live-india...",
stock market news,Google,moneycontrol.com,https://www.moneycontrol.com/stocksmarketsindia/,Stock Market: Stock Market Today | Stock Market Live News ...www.moneycontrol.com › stocksmarketsindia,
stock market news,Google,ndtv.com,https://www.ndtv.com/business/in-india-millions-of-millennials-are-piling-into-the-stock-market-2398695,"In India, Millions of Millennials Are Piling Into The Stock Marketwww.ndtv.com › Business › Market",
stock market news,Google,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks,"Stock Market News, Latest Stock News - The Economic Timeseconomictimes.indiatimes.com › Markets",
stock market news,Google,bloombergquint.com,https://www.bloombergquint.com/markets,"Stock Markets Live: Indian Share/Stock Market News, Data ...www.bloombergquint.com › markets",
stock market news,Google,in.finance.yahoo.com,https://in.finance.yahoo.com/,"Yahoo Finance – stock market live, quotes, business & finance ...in.finance.yahoo.com",
stock market news,Google,livemint.com,https://www.livemint.com/market/stock-market-news,Stock Market News - Mintwww.livemint.com › market,
stock market news,Google,nseindia.com,https://www.nseindia.com/,NSE - National Stock Exchange of India Ltd: Live Share/Stock ...www.nseindia.com,
